total_bill,tip,sex,smoker,day,time,size,fraction
20.69,2.45,Female,No,Sat,Dinner,4,0.1184146931
17.78,3.27,Male,No,Sat,Dinner,2,0.1839145107
24.06,3.6,Male,No,Sat,Dinner,3,0.1496259352
16.31,2,Male,No,Sat,Dinner,3,0.122624157
16.93,3.07,Female,No,Sat,Dinner,3,0.1813349084
18.69,2.31,Male,No,Sat,Dinner,3,0.1235955056
31.27,5,Male,No,Sat,Dinner,3,0.1598976655
16.04,2.24,Male,No,Sat,Dinner,3,0.1396508728
17.46,2.54,Male,No,Sun,Dinner,2,0.1454753723
13.94,3.06,Male,No,Sun,Dinner,2,0.2195121951
9.68,1.32,Male,No,Sun,Dinner,2,0.1363636364
30.4,5.6,Male,No,Sun,Dinner,4,0.1842105263
18.29,3,Male,No,Sun,Dinner,2,0.1640240569
22.23,5,Male,No,Sun,Dinner,2,0.2249212776
32.4,6,Male,No,Sun,Dinner,4,0.1851851852
28.55,2.05,Male,No,Sun,Dinner,3,0.0718038529
18.04,3,Male,No,Sun,Dinner,2,0.1662971175
12.54,2.5,Male,No,Sun,Dinner,2,0.1993620415
10.29,2.6,Female,No,Sun,Dinner,2,0.2526724976
34.81,5.2,Female,No,Sun,Dinner,4,0.1493823614
9.94,1.56,Male,No,Sun,Dinner,2,0.1569416499
25.56,4.34,Male,No,Sun,Dinner,4,0.1697965571
19.49,3.51,Male,No,Sun,Dinner,2,0.1800923551
38.01,3,Male,Yes,Sat,Dinner,4,0.0789265983
26.41,1.5,Female,No,Sat,Dinner,2,0.0567966679
11.24,1.76,Male,Yes,Sat,Dinner,2,0.1565836299
48.27,6.73,Male,No,Sat,Dinner,4,0.1394240729
20.29,3.21,Male,Yes,Sat,Dinner,2,0.1582060128
13.81,2,Male,Yes,Sat,Dinner,2,0.1448225923
11.02,1.98,Male,Yes,Sat,Dinner,2,0.1796733212
18.29,3.76,Male,Yes,Sat,Dinner,4,0.2055768179
17.59,2.64,Male,No,Sat,Dinner,3,0.1500852757
20.08,3.15,Male,No,Sat,Dinner,3,0.15687251
16.45,2.47,Female,No,Sat,Dinner,2,0.1501519757
3.07,1,Female,Yes,Sat,Dinner,1,0.325732899
20.23,2.01,Male,No,Sat,Dinner,2,0.09935739
15.01,2.09,Male,Yes,Sat,Dinner,2,0.1392405063
12.02,1.97,Male,No,Sat,Dinner,2,0.1638935108
17.07,3,Female,No,Sat,Dinner,3,0.1757469244
26.86,3.14,Female,Yes,Sat,Dinner,2,0.1169024572
25.28,5,Female,Yes,Sat,Dinner,2,0.1977848101
14.73,2.2,Female,No,Sat,Dinner,2,0.1493550577
10.51,1.25,Male,No,Sat,Dinner,2,0.1189343482
17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875
27.2,4,Male,No,Thur,Lunch,4,0.1470588235
22.76,3,Male,No,Thur,Lunch,2,0.1318101933
17.29,2.71,Male,No,Thur,Lunch,2,0.1567379988
19.44,3,Male,Yes,Thur,Lunch,2,0.1543209877
16.66,3.4,Male,No,Thur,Lunch,2,0.2040816327
10.07,1.83,Female,No,Thur,Lunch,1,0.1817279047
32.68,5,Male,Yes,Thur,Lunch,2,0.152998776
15.98,2.03,Male,No,Thur,Lunch,2,0.1270337922
34.83,5.17,Female,No,Thur,Lunch,4,0.148435257
13.03,2,Male,No,Thur,Lunch,2,0.1534919417
18.28,4,Male,No,Thur,Lunch,2,0.2188183807
24.71,5.85,Male,No,Thur,Lunch,2,0.2367462566
21.16,3,Male,No,Thur,Lunch,2,0.1417769376
28.97,3,Male,Yes,Fri,Dinner,2,0.1035554021
22.49,3.5,Male,No,Fri,Dinner,2,0.1556247221
5.75,1,Female,Yes,Fri,Dinner,2,0.1739130435
16.32,4.3,Female,Yes,Fri,Dinner,2,0.2634803922
22.75,3.25,Female,No,Fri,Dinner,2,0.1428571429
40.17,4.73,Male,Yes,Fri,Dinner,4,0.1177495644
27.28,4,Male,Yes,Fri,Dinner,2,0.146627566
12.03,1.5,Male,Yes,Fri,Dinner,2,0.1246882793
21.01,3,Male,Yes,Fri,Dinner,2,0.142789148
12.46,1.5,Male,No,Fri,Dinner,2,0.1203852327
11.35,2.5,Female,Yes,Fri,Dinner,2,0.2202643172
15.38,3,Female,Yes,Fri,Dinner,2,0.1950585176
44.3,2.5,Female,Yes,Sat,Dinner,3,0.0564334086
22.42,3.48,Female,Yes,Sat,Dinner,2,0.1552185549
20.92,4.08,Female,No,Sat,Dinner,2,0.1950286807
15.36,1.64,Male,Yes,Sat,Dinner,2,0.1067708333
20.49,4.06,Male,Yes,Sat,Dinner,2,0.1981454368
25.21,4.29,Male,Yes,Sat,Dinner,2,0.1701705672
18.24,3.76,Male,No,Sat,Dinner,2,0.2061403509
14.31,4,Female,Yes,Sat,Dinner,2,0.2795248078
14,3,Male,No,Sat,Dinner,2,0.2142857143
7.25,1,Female,No,Sat,Dinner,1,0.1379310345
38.07,4,Male,No,Sun,Dinner,3,0.1050696086
23.95,2.55,Male,No,Sun,Dinner,2,0.1064718163
25.71,4,Female,No,Sun,Dinner,3,0.1555814858
17.31,3.5,Female,No,Sun,Dinner,2,0.2021952629
29.93,5.07,Male,No,Sun,Dinner,4,0.1693952556
10.65,1.5,Female,No,Thur,Lunch,2,0.1408450704
12.43,1.8,Female,No,Thur,Lunch,2,0.1448109413
24.08,2.92,Female,No,Thur,Lunch,4,0.1212624585
11.69,2.31,Male,No,Thur,Lunch,2,0.1976047904
13.42,1.68,Female,No,Thur,Lunch,2,0.1251862891
14.26,2.5,Male,No,Thur,Lunch,2,0.175315568
15.95,2,Male,No,Thur,Lunch,2,0.1253918495
12.48,2.52,Female,No,Thur,Lunch,2,0.2019230769
29.8,4.2,Female,No,Thur,Lunch,6,0.1409395973
8.52,1.48,Male,No,Thur,Lunch,2,0.1737089202
14.52,2,Female,No,Thur,Lunch,2,0.1377410468
11.38,2,Female,No,Thur,Lunch,2,0.1757469244
22.82,2.18,Male,No,Thur,Lunch,3,0.0955302366
19.08,1.5,Male,No,Thur,Lunch,2,0.0786163522
20.27,2.83,Female,No,Thur,Lunch,2,0.1396151949
11.17,1.5,Female,No,Thur,Lunch,2,0.1342882722
12.26,2,Female,No,Thur,Lunch,2,0.163132137
18.26,3.25,Female,No,Thur,Lunch,2,0.1779846659
8.51,1.25,Female,No,Thur,Lunch,2,0.1468860165
10.33,2,Female,No,Thur,Lunch,2,0.1936108422
14.15,2,Female,No,Thur,Lunch,2,0.1413427562
16,2,Male,Yes,Thur,Lunch,2,0.125
13.16,2.75,Female,No,Thur,Lunch,2,0.2089665653
17.47,3.5,Female,No,Thur,Lunch,2,0.2003434459
34.3,6.7,Male,No,Thur,Lunch,6,0.195335277
41.19,5,Male,No,Thur,Lunch,5,0.1213886866
27.05,5,Female,No,Thur,Lunch,6,0.1848428835
16.43,2.3,Female,No,Thur,Lunch,2,0.1399878271
8.35,1.5,Female,No,Thur,Lunch,2,0.1796407186
18.64,1.36,Female,No,Thur,Lunch,3,0.0729613734
11.87,1.63,Female,No,Thur,Lunch,2,0.1373209773
9.78,1.73,Male,No,Thur,Lunch,2,0.1768916155
7.51,2,Male,No,Thur,Lunch,2,0.2663115846
14.07,2.5,Male,No,Sun,Dinner,2,0.1776830135
13.13,2,Male,No,Sun,Dinner,2,0.1523229246
17.26,2.74,Male,No,Sun,Dinner,3,0.1587485516
24.55,2,Male,No,Sun,Dinner,4,0.0814663951
19.77,2,Male,No,Sun,Dinner,4,0.1011633789
29.85,5.14,Female,No,Sun,Dinner,5,0.1721943049
48.17,5,Male,No,Sun,Dinner,6,0.103799045
25,3.75,Female,No,Sun,Dinner,4,0.15
13.39,2.61,Female,No,Sun,Dinner,2,0.1949215833
16.49,2,Male,No,Sun,Dinner,4,0.1212856277
21.5,3.5,Male,No,Sun,Dinner,4,0.1627906977
12.66,2.5,Male,No,Sun,Dinner,2,0.1974723539
16.21,2,Female,No,Sun,Dinner,3,0.1233806292
13.81,2,Male,No,Sun,Dinner,2,0.1448225923
17.51,3,Female,Yes,Sun,Dinner,2,0.1713306682
24.52,3.48,Male,No,Sun,Dinner,3,0.1419249592
20.76,2.24,Male,No,Sun,Dinner,2,0.1078998073
31.71,4.5,Male,No,Sun,Dinner,4,0.1419110691
10.59,1.61,Female,Yes,Sat,Dinner,2,0.1520302172
10.63,2,Female,Yes,Sat,Dinner,2,0.1881467545
50.81,10,Male,Yes,Sat,Dinner,3,0.1968116512
15.81,3.16,Male,Yes,Sat,Dinner,2,0.1998734978
7.25,5.15,Male,Yes,Sun,Dinner,2,0.7103448276
31.85,3.18,Male,Yes,Sun,Dinner,2,0.0998430141
16.82,4,Male,Yes,Sun,Dinner,2,0.2378121284
32.9,3.11,Male,Yes,Sun,Dinner,2,0.0945288754
17.89,2,Male,Yes,Sun,Dinner,2,0.1117942985
14.48,2,Male,Yes,Sun,Dinner,2,0.138121547
9.6,4,Female,Yes,Sun,Dinner,2,0.4166666667
34.63,3.55,Male,Yes,Sun,Dinner,2,0.1025122726
34.65,3.68,Male,Yes,Sun,Dinner,4,0.1062049062
23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539
45.35,3.5,Male,Yes,Sun,Dinner,3,0.0771775083
23.17,6.5,Male,Yes,Sun,Dinner,4,0.2805351748
40.55,3,Male,Yes,Sun,Dinner,2,0.0739827374
20.69,5,Male,No,Sun,Dinner,5,0.241662639
20.9,3.5,Female,Yes,Sun,Dinner,3,0.1674641148
30.46,2,Male,Yes,Sun,Dinner,5,0.0656598818
18.15,3.5,Female,Yes,Sun,Dinner,3,0.1928374656
23.1,4,Male,Yes,Sun,Dinner,3,0.1731601732
15.69,1.5,Male,Yes,Sun,Dinner,2,0.0956022945
19.81,4.19,Female,Yes,Thur,Lunch,2,0.2115093387
28.44,2.56,Male,Yes,Thur,Lunch,2,0.0900140647
15.48,2.02,Male,Yes,Thur,Lunch,2,0.1304909561
16.58,4,Male,Yes,Thur,Lunch,2,0.2412545235
7.56,1.44,Male,No,Thur,Lunch,2,0.1904761905
10.34,2,Male,Yes,Thur,Lunch,2,0.1934235977
43.11,5,Female,Yes,Thur,Lunch,4,0.1159823707
13,2,Female,Yes,Thur,Lunch,2,0.1538461538
13.51,2,Male,Yes,Thur,Lunch,2,0.14803849
18.71,4,Male,Yes,Thur,Lunch,3,0.2137894174
12.74,2.01,Female,Yes,Thur,Lunch,2,0.1577708006
13,2,Female,Yes,Thur,Lunch,2,0.1538461538
16.4,2.5,Female,Yes,Thur,Lunch,2,0.1524390244
20.53,4,Male,Yes,Thur,Lunch,4,0.1948368242
16.47,3.23,Female,Yes,Thur,Lunch,3,0.1961141469
26.59,3.41,Male,Yes,Sat,Dinner,3,0.1282437006
38.73,3,Male,Yes,Sat,Dinner,4,0.0774593338
24.27,2.03,Male,Yes,Sat,Dinner,2,0.0836423568
12.76,2.23,Female,Yes,Sat,Dinner,2,0.1747648903
30.06,2,Male,Yes,Sat,Dinner,3,0.0665335995
25.89,5.16,Male,Yes,Sat,Dinner,4,0.1993047509
48.33,9,Male,No,Sat,Dinner,4,0.1862197393
13.27,2.5,Female,Yes,Sat,Dinner,2,0.1883948757
28.17,6.5,Female,Yes,Sat,Dinner,3,0.230741924
12.9,1.1,Female,Yes,Sat,Dinner,2,0.0852713178
28.15,3,Male,Yes,Sat,Dinner,5,0.1065719361
11.59,1.5,Male,Yes,Sat,Dinner,2,0.1294219154
7.74,1.44,Male,Yes,Sat,Dinner,2,0.1860465116
30.14,3.09,Female,Yes,Sat,Dinner,4,0.102521566
12.16,2.2,Male,Yes,Fri,Lunch,2,0.1809210526
13.42,3.48,Female,Yes,Fri,Lunch,2,0.259314456
8.58,1.92,Male,Yes,Fri,Lunch,1,0.2237762238
15.98,3,Female,No,Fri,Lunch,3,0.1877346683
13.42,1.58,Male,Yes,Fri,Lunch,2,0.1177347243
16.27,2.5,Female,Yes,Fri,Lunch,2,0.1536570375
10.09,2,Female,Yes,Fri,Lunch,2,0.1982160555
20.45,3,Male,No,Sat,Dinner,4,0.1466992665
13.28,2.72,Male,No,Sat,Dinner,2,0.2048192771
22.12,2.88,Female,Yes,Sat,Dinner,2,0.130198915
24.01,2,Male,Yes,Sat,Dinner,4,0.0832986256
15.69,3,Male,Yes,Sat,Dinner,3,0.1912045889
11.61,3.39,Male,No,Sat,Dinner,2,0.2919896641
10.77,1.47,Male,No,Sat,Dinner,2,0.1364902507
15.53,3,Male,Yes,Sat,Dinner,2,0.193174501
10.07,1.25,Male,No,Sat,Dinner,2,0.1241310824
12.6,1,Male,Yes,Sat,Dinner,2,0.0793650794
32.83,1.17,Male,Yes,Sat,Dinner,2,0.0356381359
35.83,4.67,Female,No,Sat,Dinner,3,0.1303377058
29.03,5.92,Male,No,Sat,Dinner,3,0.2039269721
27.18,2,Female,Yes,Sat,Dinner,2,0.0735835173
22.67,2,Male,Yes,Sat,Dinner,2,0.0882223202
17.82,1.75,Male,No,Sat,Dinner,2,0.0982042649
18.78,3,Female,No,Thur,Dinner,2,0.1597444089
